V4_0,calendar-years,time,admin-geography,geography,mid-year-pop-age,age,mid-year-pop-sex,sex
122,2017,2017,E06000001,Hartlepool,87,87,1,Male
1032,2017,2017,E06000001,Hartlepool,13,13,0,All
602,2017,2017,E06000001,Hartlepool,7,7,2,Female
490,2017,2017,E06000001,Hartlepool,43,43,1,Male
469,2017,2017,E06000001,Hartlepool,20,20,2,Female
497,2017,2017,E06000001,Hartlepool,19,19,1,Male
1061,2017,2017,E06000001,Hartlepool,64,64,0,All
558,2017,2017,E06000001,Hartlepool,27,27,1,Male
544,2017,2017,E06000001,Hartlepool,13,13,1,Male
304,2017,2017,E06000001,Hartlepool,75,75,1,Male
449,2017,2017,E06000001,Hartlepool,71,71,1,Male
227,2017,2017,E06000001,Hartlepool,90+,90+,1,Male
589,2017,2017,E06000001,Hartlepool,28,28,1,Male
1156,2017,2017,E06000001,Hartlepool,17,17,0,All
488,2017,2017,E06000001,Hartlepool,38,38,1,Male
630,2017,2017,E06000001,Hartlepool,60,60,1,Male
247,2017,2017,E06000001,Hartlepool,88,88,0,All
1376,2017,2017,E06000001,Hartlepool,53,53,0,All
310,2017,2017,E06000001,Hartlepool,78,78,1,Male
605,2017,2017,E06000001,Hartlepool,16,16,1,Male
1067,2017,2017,E06000001,Hartlepool,36,36,0,All
259,2017,2017,E06000002,Middlesbrough,89,89,0,All
521,2017,2017,E06000001,Hartlepool,65,65,1,Male
1034,2017,2017,E06000001,Hartlepool,21,21,0,All
482,2017,2017,E06000001,Hartlepool,21,21,2,Female
68,2017,2017,E06000001,Hartlepool,89,89,1,Male
672,2017,2017,E06000001,Hartlepool,46,46,2,Female
1653,2017,2017,E06000002,Middlesbrough,12,12,0,All
557,2017,2017,E06000001,Hartlepool,32,32,1,Male
568,2017,2017,E06000001,Hartlepool,45,45,1,Male
597,2017,2017,E06000001,Hartlepool,49,49,1,Male
2293,2017,2017,E06000002,Middlesbrough,22,22,0,All
308,2017,2017,E06000001,Hartlepool,74,74,1,Male
503,2017,2017,E06000001,Hartlepool,16,16,2,Female
579,2017,2017,E06000001,Hartlepool,11,11,2,Female
573,2017,2017,E06000001,Hartlepool,22,22,2,Female
45361,2017,2017,E06000001,Hartlepool,total,Total,1,Male
1111,2017,2017,E06000001,Hartlepool,18,18,0,All
614,2017,2017,E06000001,Hartlepool,9,9,1,Male
565,2017,2017,E06000001,Hartlepool,9,9,2,Female
587,2017,2017,E06000001,Hartlepool,24,24,2,Female
522,2017,2017,E06000001,Hartlepool,34,34,1,Male
553,2017,2017,E06000001,Hartlepool,31,31,1,Male
854,2017,2017,E06000002,Middlesbrough,8,8,1,Male
1263,2017,2017,E06000001,Hartlepool,47,47,0,All
552,2017,2017,E06000001,Hartlepool,21,21,1,Male
559,2017,2017,E06000001,Hartlepool,34,34,2,Female
561,2017,2017,E06000001,Hartlepool,12,12,2,Female
575,2017,2017,E06000001,Hartlepool,44,44,2,Female
662,2017,2017,E06000002,Middlesbrough,65,65,1,Male
1783,2017,2017,E06000002,Middlesbrough,33,33,0,All
648,2017,2017,E06000001,Hartlepool,53,53,1,Male
1968,2017,2017,E06000002,Middlesbrough,2,2,0,All
635,2017,2017,E06000001,Hartlepool,57,57,1,Male
573,2017,2017,E06000001,Hartlepool,8,8,2,Female
1795,2017,2017,E06000002,Middlesbrough,56,56,0,All
487,2017,2017,E06000001,Hartlepool,63,63,2,Female
1022,2017,2017,E06000002,Middlesbrough,2,2,1,Male
574,2017,2017,E06000001,Hartlepool,27,27,2,Female
546,2017,2017,E06000001,Hartlepool,67,67,2,Female
1410,2017,2017,E06000001,Hartlepool,54,54,0,All
470,2017,2017,E06000001,Hartlepool,15,15,2,Female
500,2017,2017,E06000001,Hartlepool,41,41,1,Male
594,2017,2017,E06000001,Hartlepool,44,44,1,Male
580,2017,2017,E06000001,Hartlepool,28,28,2,Female
